,emotion,statements,gender
datasources\EMO_DB\EMO_DB_DATA\wav\03a01Fa.wav,happiness,The tablecloth is lying on the fridge,male
datasources\EMO_DB\EMO_DB_DATA\wav\03a01Nc.wav,neutral,The tablecloth is lying on the fridge,male
datasources\EMO_DB\EMO_DB_DATA\wav\03a01Wa.wav,anger,The tablecloth is lying on the fridge,male
datasources\EMO_DB\EMO_DB_DATA\wav\03a02Fc.wav,happiness,She wants to hand that in on Wednesday,male
datasources\EMO_DB\EMO_DB_DATA\wav\03a02Nc.wav,neutral,She wants to hand that in on Wednesday,male
datasources\EMO_DB\EMO_DB_DATA\wav\03a02Ta.wav,sadness,She wants to hand that in on Wednesday,male
datasources\EMO_DB\EMO_DB_DATA\wav\03a02Wb.wav,anger,She wants to hand that in on Wednesday,male
datasources\EMO_DB\EMO_DB_DATA\wav\03a02Wc.wav,anger,She wants to hand that in on Wednesday,male
datasources\EMO_DB\EMO_DB_DATA\wav\03a04Ad.wav,anxiety/fear,I could tell him Tonight,male
datasources\EMO_DB\EMO_DB_DATA\wav\03a04Fd.wav,happiness,I could tell him Tonight,male
datasources\EMO_DB\EMO_DB_DATA\wav\03a04Lc.wav,boredom,I could tell him Tonight,male
datasources\EMO_DB\EMO_DB_DATA\wav\03a04Nc.wav,neutral,I could tell him Tonight,male
datasources\EMO_DB\EMO_DB_DATA\wav\03a04Ta.wav,sadness,I could tell him Tonight,male
datasources\EMO_DB\EMO_DB_DATA\wav\03a04Wc.wav,anger,I could tell him Tonight,male
datasources\EMO_DB\EMO_DB_DATA\wav\03a05Aa.wav,anxiety/fear,The black piece of paper is up there next to the piece of wood,male
datasources\EMO_DB\EMO_DB_DATA\wav\03a05Fc.wav,happiness,The black piece of paper is up there next to the piece of wood,male
datasources\EMO_DB\EMO_DB_DATA\wav\03a05Nd.wav,neutral,The black piece of paper is up there next to the piece of wood,male
datasources\EMO_DB\EMO_DB_DATA\wav\03a05Tc.wav,sadness,The black piece of paper is up there next to the piece of wood,male
datasources\EMO_DB\EMO_DB_DATA\wav\03a05Wa.wav,anger,The black piece of paper is up there next to the piece of wood,male
datasources\EMO_DB\EMO_DB_DATA\wav\03a05Wb.wav,anger,The black piece of paper is up there next to the piece of wood,male
datasources\EMO_DB\EMO_DB_DATA\wav\03a07Fa.wav,happiness,It will be ready in seven hours,male
datasources\EMO_DB\EMO_DB_DATA\wav\03a07Fb.wav,happiness,It will be ready in seven hours,male
datasources\EMO_DB\EMO_DB_DATA\wav\03a07La.wav,boredom,It will be ready in seven hours,male
datasources\EMO_DB\EMO_DB_DATA\wav\03a07Nc.wav,neutral,It will be ready in seven hours,male
datasources\EMO_DB\EMO_DB_DATA\wav\03a07Wc.wav,anger,It will be ready in seven hours,male
datasources\EMO_DB\EMO_DB_DATA\wav\03b01Fa.wav,happiness,What kind of bags are there under the table,male
datasources\EMO_DB\EMO_DB_DATA\wav\03b01Lb.wav,boredom,What kind of bags are there under the table,male
datasources\EMO_DB\EMO_DB_DATA\wav\03b01Nb.wav,neutral,What kind of bags are there under the table,male
datasources\EMO_DB\EMO_DB_DATA\wav\03b01Td.wav,sadness,What kind of bags are there under the table,male
datasources\EMO_DB\EMO_DB_DATA\wav\03b01Wa.wav,anger,What kind of bags are there under the table,male
datasources\EMO_DB\EMO_DB_DATA\wav\03b01Wc.wav,anger,What kind of bags are there under the table,male
datasources\EMO_DB\EMO_DB_DATA\wav\03b02Aa.wav,anxiety/fear,They just carried it up and now they're going down again,male
datasources\EMO_DB\EMO_DB_DATA\wav\03b02La.wav,boredom,They just carried it up and now they're going down again,male
datasources\EMO_DB\EMO_DB_DATA\wav\03b02Na.wav,neutral,They just carried it up and now they're going down again,male
datasources\EMO_DB\EMO_DB_DATA\wav\03b02Tb.wav,sadness,They just carried it up and now they're going down again,male
datasources\EMO_DB\EMO_DB_DATA\wav\03b02Wb.wav,anger,They just carried it up and now they're going down again,male
datasources\EMO_DB\EMO_DB_DATA\wav\03b03Nb.wav,neutral,I used to go home on the weekends and visit Agnes,male
datasources\EMO_DB\EMO_DB_DATA\wav\03b03Tc.wav,sadness,I used to go home on the weekends and visit Agnes,male
datasources\EMO_DB\EMO_DB_DATA\wav\03b03Wc.wav,anger,I used to go home on the weekends and visit Agnes,male
datasources\EMO_DB\EMO_DB_DATA\wav\03b09La.wav,boredom,I want to take that away and then go have a drink with Karl,male
datasources\EMO_DB\EMO_DB_DATA\wav\03b09Nc.wav,neutral,I want to take that away and then go have a drink with Karl,male
datasources\EMO_DB\EMO_DB_DATA\wav\03b09Tc.wav,sadness,I want to take that away and then go have a drink with Karl,male
datasources\EMO_DB\EMO_DB_DATA\wav\03b09Wa.wav,anger,I want to take that away and then go have a drink with Karl,male
datasources\EMO_DB\EMO_DB_DATA\wav\03b10Ab.wav,anxiety/fear,It will be in the place where we always put it,male
datasources\EMO_DB\EMO_DB_DATA\wav\03b10Ec.wav,disgust,It will be in the place where we always put it,male
datasources\EMO_DB\EMO_DB_DATA\wav\03b10Na.wav,neutral,It will be in the place where we always put it,male
datasources\EMO_DB\EMO_DB_DATA\wav\03b10Nc.wav,neutral,It will be in the place where we always put it,male
datasources\EMO_DB\EMO_DB_DATA\wav\03b10Wb.wav,anger,It will be in the place where we always put it,male
datasources\EMO_DB\EMO_DB_DATA\wav\03b10Wc.wav,anger,It will be in the place where we always put it,male
datasources\EMO_DB\EMO_DB_DATA\wav\08a01Ab.wav,anxiety/fear,The tablecloth is lying on the fridge,female
datasources\EMO_DB\EMO_DB_DATA\wav\08a01Fd.wav,happiness,The tablecloth is lying on the fridge,female
datasources\EMO_DB\EMO_DB_DATA\wav\08a01Lc.wav,boredom,The tablecloth is lying on the fridge,female
datasources\EMO_DB\EMO_DB_DATA\wav\08a01Na.wav,neutral,The tablecloth is lying on the fridge,female
datasources\EMO_DB\EMO_DB_DATA\wav\08a01Wa.wav,anger,The tablecloth is lying on the fridge,female
datasources\EMO_DB\EMO_DB_DATA\wav\08a01Wc.wav,anger,The tablecloth is lying on the fridge,female
datasources\EMO_DB\EMO_DB_DATA\wav\08a02Ab.wav,anxiety/fear,She wants to hand that in on Wednesday,female
datasources\EMO_DB\EMO_DB_DATA\wav\08a02Ac.wav,anxiety/fear,She wants to hand that in on Wednesday,female
datasources\EMO_DB\EMO_DB_DATA\wav\08a02Fe.wav,happiness,She wants to hand that in on Wednesday,female
datasources\EMO_DB\EMO_DB_DATA\wav\08a02La.wav,boredom,She wants to hand that in on Wednesday,female
datasources\EMO_DB\EMO_DB_DATA\wav\08a02Na.wav,neutral,She wants to hand that in on Wednesday,female
datasources\EMO_DB\EMO_DB_DATA\wav\08a02Tb.wav,sadness,She wants to hand that in on Wednesday,female
