,modality,emotion,statement,gender
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_01\03-01-01-01-01-01-01.wav,audio-only,neutral,Kids are talking by the door,male
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_01\03-01-01-01-01-02-01.wav,audio-only,neutral,Kids are talking by the door,male
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_01\03-01-01-01-02-01-01.wav,audio-only,neutral,Dogs are sitting by the door,male
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_01\03-01-01-01-02-02-01.wav,audio-only,neutral,Dogs are sitting by the door,male
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_01\03-01-02-01-01-01-01.wav,audio-only,calm,Kids are talking by the door,male
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_01\03-01-02-01-01-02-01.wav,audio-only,calm,Kids are talking by the door,male
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_01\03-01-02-01-02-01-01.wav,audio-only,calm,Dogs are sitting by the door,male
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_01\03-01-02-01-02-02-01.wav,audio-only,calm,Dogs are sitting by the door,male
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_01\03-01-02-02-01-01-01.wav,audio-only,calm,Kids are talking by the door,male
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_01\03-01-02-02-01-02-01.wav,audio-only,calm,Kids are talking by the door,male
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_01\03-01-02-02-02-01-01.wav,audio-only,calm,Dogs are sitting by the door,male
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_01\03-01-02-02-02-02-01.wav,audio-only,calm,Dogs are sitting by the door,male
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_01\03-01-03-01-01-01-01.wav,audio-only,happy,Kids are talking by the door,male
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_01\03-01-03-01-01-02-01.wav,audio-only,happy,Kids are talking by the door,male
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_01\03-01-03-01-02-01-01.wav,audio-only,happy,Dogs are sitting by the door,male
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_01\03-01-03-01-02-02-01.wav,audio-only,happy,Dogs are sitting by the door,male
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_01\03-01-03-02-01-01-01.wav,audio-only,happy,Kids are talking by the door,male
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_01\03-01-03-02-01-02-01.wav,audio-only,happy,Kids are talking by the door,male
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_01\03-01-03-02-02-01-01.wav,audio-only,happy,Dogs are sitting by the door,male
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_01\03-01-03-02-02-02-01.wav,audio-only,happy,Dogs are sitting by the door,male
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_01\03-01-04-01-01-01-01.wav,audio-only,sad,Kids are talking by the door,male
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_01\03-01-04-01-01-02-01.wav,audio-only,sad,Kids are talking by the door,male
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_01\03-01-04-01-02-01-01.wav,audio-only,sad,Dogs are sitting by the door,male
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_01\03-01-04-01-02-02-01.wav,audio-only,sad,Dogs are sitting by the door,male
