,modality,emotion,statement,gender,features
datasources\RAVDESS\RAVDESS_DATA\Actor_01\03-01-01-01-01-01-01.wav,audio-only,neutral,Kids are talking by the door,male,"{'mfcc': array([[-8.5730945e+02, -8.5730945e+02, -8.5730945e+02, ...,
        -8.5618469e+02, -8.5561493e+02, -8.5506232e+02],
       [ 0.0000000e+00,  0.0000000e+00,  0.0000000e+00, ...,
         1.5891130e+00,  2.3934355e+00,  3.1635697e+00],
       [ 0.0000000e+00,  0.0000000e+00,  0.0000000e+00, ...,
         1.5841730e+00,  2.3842595e+00,  3.1208820e+00],
       ...,
       [ 0.0000000e+00,  0.0000000e+00,  0.0000000e+00, ...,
         1.1446075e+00,  1.5929742e+00,  9.9436015e-01],
       [ 0.0000000e+00,  0.0000000e+00,  0.0000000e+00, ...,
         1.0945431e+00,  1.5061760e+00,  8.9865255e-01],
       [ 0.0000000e+00,  0.0000000e+00,  0.0000000e+00, ...,
         1.0425129e+00,  1.4167316e+00,  8.1769216e-01]], dtype=float32), 'zero_crossing_rate': array([[0.07958984, 0.14355469, 0.24169922, 0.32373047, 0.35302734,
        0.44873047, 0.52832031, 0.48730469, 0.56152344, 0.55908203,
        0.38232422, 0.47558594, 0.52734375, 0.40234375, 0.54248047,
        0.44628906, 0.29638672, 0.36523438, 0.23291016, 0.25292969,
        0.20507812, 0.20068359, 0.29882812, 0.29199219, 0.44726562,
        0.40039062, 0.35498047, 0.32714844, 0.28710938, 0.39355469,
        0.52880859, 0.61083984, 0.65039062, 0.61914062, 0.55517578,
        0.55175781, 0.54443359, 0.55566406, 0.53320312, 0.50732422,
        0.43505859, 0.40380859, 0.36328125, 0.3359375 , 0.28466797,
        0.19384766, 0.13525391, 0.06005859, 0.04589844, 0.09472656,
        0.15527344, 0.17138672, 0.18701172, 0.14404297, 0.08691406,
        0.07470703, 0.14648438, 0.19726562, 0.22363281, 0.21875   ,
        0.13427734, 0.07910156, 0.05566406, 0.06347656, 0.06982422,
        0.07910156, 0.09912109, 0.09179688, 0.08349609, 0.06494141,
        0.03320312, 0.02783203, 0.02294922, 0.02832031, 0.03320312,
        0.04296875, 0.04785156, 0.04785156, 0.05029297, 0.04345703,
        0.04394531, 0.04150391, 0.03320312, 0.03173828, 0.03369141,
        0.03173828, 0.03662109, 0.04052734, 0.03710938, 0.04101562,
        0.04248047, 0.04296875, 0.04199219, 0.04003906, 0.04052734,
        0.04296875, 0.04785156, 0.07275391, 0.11425781, 0.14746094,
        0.18017578, 0.22558594, 0.28564453, 0.38232422, 0.4609375 ,
        0.52587891, 0.53222656, 0.55322266, 0.62060547, 0.59326172,
        0.64453125, 0.63037109, 0.60009766, 0.63964844, 0.61425781,
        0.64306641, 0.65185547, 0.68603516, 0.6953125 , 0.68652344,
        0.68652344, 0.61474609, 0.53857422, 0.48339844, 0.51123047,
        0.56494141, 0.69482422, 0.74365234, 0.58349609, 0.40771484]]), 'chroma_cens': array([[0.25394358, 0.26002769, 0.26663806, ..., 0.04043746, 0.0373796 ,
        0.03483096],
       [0.23627046, 0.23671712, 0.23712878, ..., 0.10827043, 0.10462302,
        0.10094176],
       [0.44062457, 0.43662736, 0.43224448, ..., 0.23131893, 0.23075268,
        0.23022583],
       ...,
       [0.25430311, 0.25534437, 0.25693244, ..., 0.44473932, 0.44743205,
        0.44966099],
       [0.2643763 , 0.27059078, 0.27731728, ..., 0.46263786, 0.46150535,
        0.46045165],
       [0.24914778, 0.25315487, 0.25771788, ..., 0.21375721, 0.21549764,
        0.21731549]])}"
datasources\RAVDESS\RAVDESS_DATA\Actor_01\03-01-01-01-01-02-01.wav,audio-only,neutral,Kids are talking by the door,male,"{'mfcc': array([[-864.89026, -864.89026, -864.89026, ..., -864.89026, -864.89026,
        -864.89026],
       [   0.     ,    0.     ,    0.     , ...,    0.     ,    0.     ,
           0.     ],
       [   0.     ,    0.     ,    0.     , ...,    0.     ,    0.     ,
           0.     ],
       ...,
       [   0.     ,    0.     ,    0.     , ...,    0.     ,    0.     ,
           0.     ],
       [   0.     ,    0.     ,    0.     , ...,    0.     ,    0.     ,
           0.     ],
       [   0.     ,    0.     ,    0.     , ...,    0.     ,    0.     ,
           0.     ]], dtype=float32), 'zero_crossing_rate': array([[0.18896484, 0.31542969, 0.42333984, 0.39257812, 0.54003906,
        0.46679688, 0.50976562, 0.50195312, 0.52099609, 0.67333984,
        0.68945312, 0.67041016, 0.67138672, 0.59277344, 0.58789062,
        0.66113281, 0.59619141, 0.63232422, 0.66943359, 0.61328125,
        0.66308594, 0.67089844, 0.64697266, 0.65087891, 0.62890625,
        0.50732422, 0.50732422, 0.49072266, 0.54736328, 0.59570312,
        0.58056641, 0.61669922, 0.59130859, 0.62304688, 0.64306641,
        0.57080078, 0.50097656, 0.49023438, 0.44482422, 0.52978516,
        0.56445312, 0.54882812, 0.48388672, 0.38330078, 0.32519531,
        0.22949219, 0.16699219, 0.09228516, 0.03076172, 0.03369141,
        0.09228516, 0.16943359, 0.18066406, 0.18505859, 0.13085938,
        0.06298828, 0.05371094, 0.06152344, 0.14013672, 0.19091797,
        0.20654297, 0.19189453, 0.11865234, 0.06494141, 0.05712891,
        0.06640625, 0.06396484, 0.09130859, 0.11328125, 0.10253906,
        0.09472656, 0.05908203, 0.02539062, 0.02441406, 0.02246094,
        0.02539062, 0.03125   , 0.03759766, 0.04345703, 0.04541016,
        0.04833984, 0.04882812, 0.04394531, 0.04150391, 0.03271484,
        0.02685547, 0.04296875, 0.04345703, 0.04736328, 0.05029297,
        0.03662109, 0.0390625 , 0.03955078, 0.0390625 , 0.03662109,
        0.03173828, 0.02783203, 0.03320312, 0.04833984, 0.07080078,
        0.10205078, 0.13134766, 0.15625   , 0.19042969, 0.22363281,
        0.30371094, 0.36328125, 0.39501953, 0.41992188, 0.42724609,
        0.46044922, 0.50878906, 0.59765625, 0.60888672, 0.58544922,
        0.61914062, 0.59472656, 0.64013672, 0.71435547, 0.70849609,
        0.69433594, 0.70410156, 0.671875  , 0.69580078, 0.65039062,
        0.55957031, 0.50439453, 0.37011719, 0.30322266, 0.19580078]]), 'chroma_cens': array([[0.2359509 , 0.23584263, 0.2357428 , ..., 0.02395397, 0.01966952,
        0.01566006],
       [0.25740099, 0.25539553, 0.25351204, ..., 0.23678498, 0.23625089,
        0.235482  ],
       [0.27873128, 0.27505823, 0.27148198, ..., 0.3084384 , 0.31397898,
        0.31933718],
       ...,
       [0.2359509 , 0.23584263, 0.2357428 , ..., 0.23719132, 0.23636094,
        0.235482  ],
       [0.47190181, 0.47168526, 0.4714856 , ..., 0.47448479, 0.47272188,
        0.470964  ],
       [0.21462061, 0.21617993, 0.21767137, ..., 0.11093768, 0.10749978,
        0.10423458]])}"
datasources\RAVDESS\RAVDESS_DATA\Actor_01\03-01-01-01-02-01-01.wav,audio-only,neutral,Dogs are sitting by the door,male,"{'mfcc': array([[-8.4944543e+02, -8.4800372e+02, -8.4497742e+02, ...,
        -8.5607117e+02, -8.5612366e+02, -8.5612366e+02],
       [ 9.3974819e+00,  1.1429262e+01,  1.5643802e+01, ...,
         7.4229449e-02,  0.0000000e+00,  0.0000000e+00],
       [ 9.2578850e+00,  1.1268430e+01,  1.5306116e+01, ...,
         7.4078515e-02,  0.0000000e+00,  0.0000000e+00],
       ...,
       [ 1.9214145e+00,  2.1676612e+00,  2.3810713e+00, ...,
         6.0200579e-02,  0.0000000e+00,  0.0000000e+00],
       [ 1.5668819e+00,  1.6621591e+00,  1.9722959e+00, ...,
         5.8558200e-02,  0.0000000e+00,  0.0000000e+00],
       [ 1.2702353e+00,  1.2244496e+00,  1.6680763e+00, ...,
         5.6836460e-02,  0.0000000e+00,  0.0000000e+00]], dtype=float32), 'zero_crossing_rate': array([[0.19677734, 0.30566406, 0.47167969, 0.46728516, 0.52392578,
        0.52197266, 0.47021484, 0.55712891, 0.578125  , 0.66748047,
        0.70556641, 0.59082031, 0.59814453, 0.55517578, 0.56591797,
        0.63037109, 0.65917969, 0.65429688, 0.60400391, 0.55908203,
        0.52978516, 0.38085938, 0.39648438, 0.35009766, 0.34179688,
        0.41601562, 0.37158203, 0.45068359, 0.46630859, 0.58935547,
        0.68554688, 0.72167969, 0.74853516, 0.75585938, 0.79296875,
        0.83105469, 0.82080078, 0.73828125, 0.71826172, 0.67822266,
        0.66943359, 0.67578125, 0.51708984, 0.35693359, 0.18945312,
        0.07910156, 0.05566406, 0.06347656, 0.06787109, 0.06542969,
        0.06103516, 0.05029297, 0.04443359, 0.08984375, 0.15771484,
        0.21240234, 0.22460938, 0.17333984, 0.13476562, 0.17675781,
        0.26904297, 0.37939453, 0.44189453, 0.36230469, 0.25683594,
        0.14794922, 0.05712891, 0.0390625 , 0.0390625 , 0.03564453,
        0.02978516, 0.02734375, 0.02246094, 0.02197266, 0.03076172,
        0.03857422, 0.04882812, 0.0546875 , 0.05322266, 0.046875  ,
        0.03857422, 0.03466797, 0.02832031, 0.03027344, 0.04296875,
        0.04492188, 0.04882812, 0.05078125, 0.04150391, 0.04003906,
        0.0390625 , 0.04101562, 0.04248047, 0.04345703, 0.03857422,
        0.03759766, 0.04394531, 0.05126953, 0.08056641, 0.11376953,
        0.15136719, 0.2109375 , 0.25732422, 0.32714844, 0.39550781,
        0.44824219, 0.51025391, 0.5390625 , 0.58203125, 0.60449219,
        0.63574219, 0.65380859, 0.67822266, 0.72363281, 0.71728516,
        0.71191406, 0.71923828, 0.69873047, 0.72265625, 0.69824219,
        0.60351562, 0.62451172, 0.54833984, 0.43164062, 0.328125  ,
        0.2578125 , 0.25537109, 0.36230469, 0.36230469, 0.23242188]]), 'chroma_cens': array([[0.0152682 , 0.02047698, 0.026698  , ..., 0.23505274, 0.23492451,
        0.23482294],
       [0.16374433, 0.15695669, 0.15048365, ..., 0.22656873, 0.22731059,
        0.22804874],
       [0.22649806, 0.22719501, 0.22795391, ..., 0.23495155, 0.23492451,
        0.23482294],
       ...,
       [0.22649806, 0.22719501, 0.22795391, ..., 0.23505274, 0.23492451,
        0.23482294],
       [0.66434096, 0.66163459, 0.65852233, ..., 0.3667808 , 0.36184944,
        0.35715158],
       [0.0508548 , 0.05929836, 0.06853479, ..., 0.23505274, 0.23492451,
        0.23482294]])}"
datasources\RAVDESS\RAVDESS_DATA\Actor_01\03-01-01-01-02-02-01.wav,audio-only,neutral,Dogs are sitting by the door,male,"{'mfcc': array([[-8.3273438e+02, -8.3655273e+02, -8.3458057e+02, ...,
        -8.4383356e+02, -8.4379504e+02, -8.3970209e+02],
       [ 1.1492825e+01,  8.1390190e+00,  1.0231956e+01, ...,
         3.3890047e+00,  3.4364524e+00,  9.1412868e+00],
       [ 1.4787018e-01, -2.0708033e-01,  1.3472928e+00, ...,
         3.3565779e+00,  3.3833926e+00,  8.8424006e+00],
       ...,
       [ 1.3564888e+00,  2.1378767e+00,  2.9262815e+00, ...,
         1.2375921e+00,  7.8700721e-01, -1.9596764e-01],
       [ 3.6718943e+00,  3.6515994e+00,  3.2220333e+00, ...,
         1.0800629e+00,  6.8065047e-01, -1.8642336e-01],
       [ 1.9600635e+00,  1.9666170e+00,  8.6449742e-01, ...,
         9.3156880e-01,  5.9507620e-01, -1.2178987e-01]], dtype=float32), 'zero_crossing_rate': array([[0.35644531, 0.51757812, 0.671875  , 0.6640625 , 0.63769531,
        0.65673828, 0.65136719, 0.66552734, 0.69384766, 0.68554688,
        0.68603516, 0.68603516, 0.6875    , 0.68847656, 0.74023438,
        0.77148438, 0.72802734, 0.74316406, 0.75244141, 0.59472656,
        0.61669922, 0.46826172, 0.41943359, 0.43652344, 0.37744141,
        0.47167969, 0.30859375, 0.40136719, 0.34228516, 0.32275391,
        0.47753906, 0.49755859, 0.56542969, 0.56005859, 0.46142578,
        0.28857422, 0.34667969, 0.43212891, 0.52685547, 0.67041016,
        0.60449219, 0.52441406, 0.41748047, 0.27783203, 0.18115234,
        0.08154297, 0.05419922, 0.06103516, 0.06201172, 0.05908203,
        0.05078125, 0.04736328, 0.09472656, 0.18847656, 0.26416016,
        0.27294922, 0.2265625 , 0.15771484, 0.16601562, 0.27001953,
        0.37939453, 0.453125  , 0.37548828, 0.26220703, 0.15771484,
        0.05859375, 0.05224609, 0.04541016, 0.03173828, 0.02783203,
        0.02587891, 0.03076172, 0.04443359, 0.04931641, 0.05419922,
        0.05517578, 0.04199219, 0.03710938, 0.03027344, 0.02441406,
        0.02294922, 0.03173828, 0.03564453, 0.04101562, 0.046875  ,
        0.03857422, 0.04052734, 0.03759766, 0.03515625, 0.03320312,
        0.02929688, 0.02490234, 0.02685547, 0.03222656, 0.04541016,
        0.06542969, 0.09716797, 0.12939453, 0.15917969, 0.19238281,
        0.22119141, 0.23876953, 0.28125   , 0.29980469, 0.31152344,
        0.34619141, 0.3984375 , 0.50585938, 0.53808594, 0.55566406,
        0.59472656, 0.60400391, 0.66943359, 0.73535156, 0.72314453,
        0.73144531, 0.73242188, 0.72412109, 0.74560547, 0.74365234,
        0.65234375, 0.61816406, 0.59033203, 0.50927734, 0.53564453,
        0.56494141, 0.58105469, 0.63183594, 0.54736328, 0.37988281]]), 'chroma_cens': array([[0.19845698, 0.19845   , 0.19873043, ..., 0.24752039, 0.24760452,
        0.24748216],
       [0.24374832, 0.24413249, 0.24449811, ..., 0.24846881, 0.24806394,
        0.24760786],
       [0.38365081, 0.37705746, 0.37040397, ..., 0.19153943, 0.18625007,
        0.18070418],
       ...,
       [0.30094709, 0.30225647, 0.30313267, ..., 0.39546638, 0.40335171,
        0.41112082],
       [0.48749663, 0.48826497, 0.48899622, ..., 0.49693762, 0.49612787,
        0.49521573],
       [0.25046808, 0.2545887 , 0.25972063, ..., 0.27325269, 0.27181937,
        0.27011767]])}"
datasources\RAVDESS\RAVDESS_DATA\Actor_01\03-01-02-01-01-01-01.wav,audio-only,calm,Kids are talking by the door,male,"{'mfcc': array([[-9.0240637e+02, -8.9690332e+02, -8.9396216e+02, ...,
        -8.8465436e+02, -8.8644769e+02, -8.8318689e+02],
       [ 6.5172410e+00,  1.4194991e+01,  1.8069424e+01, ...,
         2.8860882e+01,  2.6215115e+01,  3.0576889e+01],
       [ 6.4273634e+00,  1.3796518e+01,  1.7004602e+01, ...,
         2.2536810e+01,  1.9352959e+01,  2.3196997e+01],
       ...,
       [ 1.3258474e+00,  4.6765867e-01,  4.9207878e-01, ...,
         2.9079266e+00,  2.5217371e+00, -3.8534844e-01],
       [ 1.0353010e+00,  2.6978874e-01,  7.1091443e-01, ...,
         1.5806559e+00,  1.8494316e+00,  5.4830980e-01],
       [ 7.8042722e-01,  1.4727914e-01,  6.1032230e-01, ...,
         4.7383523e-01,  7.4518627e-01,  1.5070946e+00]], dtype=float32), 'zero_crossing_rate': array([[0.32763672, 0.49267578, 0.64160156, 0.63964844, 0.67724609,
        0.66064453, 0.67919922, 0.68701172, 0.65917969, 0.70507812,
        0.6640625 , 0.51611328, 0.4609375 , 0.36328125, 0.36425781,
        0.32470703, 0.3515625 , 0.31738281, 0.29980469, 0.29980469,
        0.17138672, 0.13916016, 0.10449219, 0.10449219, 0.21386719,
        0.22167969, 0.29296875, 0.3984375 , 0.2890625 , 0.29931641,
        0.24121094, 0.32519531, 0.5       , 0.65283203, 0.75927734,
        0.77099609, 0.77197266, 0.75683594, 0.7578125 , 0.68896484,
        0.71240234, 0.66552734, 0.55224609, 0.50683594, 0.39355469,
        0.31982422, 0.24365234, 0.16796875, 0.09472656, 0.04150391,
        0.04345703, 0.04248047, 0.03808594, 0.02978516, 0.04101562,
        0.11132812, 0.23876953, 0.36230469, 0.41748047, 0.34570312,
        0.21972656, 0.10253906, 0.0390625 , 0.05029297, 0.05566406,
        0.13134766, 0.17578125, 0.21337891, 0.24462891, 0.18164062,
        0.13867188, 0.09619141, 0.06591797, 0.05322266, 0.06445312,
        0.06787109, 0.10351562, 0.14941406, 0.13867188, 0.12695312,
        0.08105469, 0.03027344, 0.02246094, 0.02197266, 0.02050781,
        0.02246094, 0.03320312, 0.04150391, 0.05029297, 0.05517578,
        0.05078125, 0.04736328, 0.03955078, 0.03417969, 0.02880859,
        0.02832031, 0.03125   , 0.05126953, 0.05224609, 0.05126953,
        0.05078125, 0.03222656, 0.03466797, 0.03515625, 0.0390625 ,
        0.04248047, 0.04150391, 0.04345703, 0.05175781, 0.06396484,
        0.08642578, 0.12255859, 0.18457031, 0.23339844, 0.29101562,
        0.33496094, 0.33740234, 0.37792969, 0.39355469, 0.39306641,
        0.42089844, 0.42382812, 0.45800781, 0.52587891, 0.55664062,
        0.56152344, 0.58203125, 0.55322266, 0.43994141, 0.31835938]]), 'chroma_cens': array([[0.17454363, 0.1701906 , 0.1662931 , ..., 0.14568598, 0.15105637,
        0.15629961],
       [0.23161502, 0.23155367, 0.23149986, ..., 0.11610508, 0.11796584,
        0.12008179],
       [0.33487091, 0.33318348, 0.3313769 , ..., 0.19309605, 0.19934745,
        0.20515571],
       ...,
       [0.23546804, 0.23697301, 0.23883936, ..., 0.42279763, 0.43074841,
        0.43815247],
       [0.46323004, 0.46310734, 0.46299973, ..., 0.4737186 , 0.47995011,
        0.48558723],
       [0.22238716, 0.22070911, 0.21939555, ..., 0.17312972, 0.18059196,
        0.18787096]])}"
datasources\RAVDESS\RAVDESS_DATA\Actor_01\03-01-02-01-01-02-01.wav,audio-only,calm,Kids are talking by the door,male,
datasources\RAVDESS\RAVDESS_DATA\Actor_01\03-01-02-01-02-01-01.wav,audio-only,calm,Dogs are sitting by the door,male,
datasources\RAVDESS\RAVDESS_DATA\Actor_01\03-01-02-01-02-02-01.wav,audio-only,calm,Dogs are sitting by the door,male,
datasources\RAVDESS\RAVDESS_DATA\Actor_01\03-01-02-02-01-01-01.wav,audio-only,calm,Kids are talking by the door,male,
datasources\RAVDESS\RAVDESS_DATA\Actor_01\03-01-02-02-01-02-01.wav,audio-only,calm,Kids are talking by the door,male,
