,emotion,statements,gender
datasources\SAVEE\SAVEE_DATA\AudioData\DC\DCaa01.wav,angry,,male
datasources\SAVEE\SAVEE_DATA\AudioData\DC\DCaa02.wav,angry,,male
datasources\SAVEE\SAVEE_DATA\AudioData\DC\DCaa03.wav,angry,,male
datasources\SAVEE\SAVEE_DATA\AudioData\DC\DCaa04.wav,angry,,male
datasources\SAVEE\SAVEE_DATA\AudioData\DC\DCaa05.wav,angry,,male
datasources\SAVEE\SAVEE_DATA\AudioData\DC\DCaa06.wav,angry,,male
datasources\SAVEE\SAVEE_DATA\AudioData\DC\DCaa07.wav,angry,,male
datasources\SAVEE\SAVEE_DATA\AudioData\DC\DCaa08.wav,angry,,male
datasources\SAVEE\SAVEE_DATA\AudioData\DC\DCaa09.wav,angry,,male
datasources\SAVEE\SAVEE_DATA\AudioData\DC\DCaa10.wav,angry,,male
datasources\SAVEE\SAVEE_DATA\AudioData\DC\DCaa11.wav,angry,,male
datasources\SAVEE\SAVEE_DATA\AudioData\DC\DCaa12.wav,angry,,male
datasources\SAVEE\SAVEE_DATA\AudioData\DC\DCaa13.wav,angry,,male
datasources\SAVEE\SAVEE_DATA\AudioData\DC\DCaa14.wav,angry,,male
datasources\SAVEE\SAVEE_DATA\AudioData\DC\DCaa15.wav,angry,,male
datasources\SAVEE\SAVEE_DATA\AudioData\DC\DCdd01.wav,disgust,,male
datasources\SAVEE\SAVEE_DATA\AudioData\DC\DCdd02.wav,disgust,,male
datasources\SAVEE\SAVEE_DATA\AudioData\DC\DCdd03.wav,disgust,,male
datasources\SAVEE\SAVEE_DATA\AudioData\DC\DCdd04.wav,disgust,,male
datasources\SAVEE\SAVEE_DATA\AudioData\DC\DCdd05.wav,disgust,,male
datasources\SAVEE\SAVEE_DATA\AudioData\DC\DCdd06.wav,disgust,,male
datasources\SAVEE\SAVEE_DATA\AudioData\DC\DCdd07.wav,disgust,,male
datasources\SAVEE\SAVEE_DATA\AudioData\DC\DCdd08.wav,disgust,,male
datasources\SAVEE\SAVEE_DATA\AudioData\DC\DCdd09.wav,disgust,,male
datasources\SAVEE\SAVEE_DATA\AudioData\DC\DCdd10.wav,disgust,,male
datasources\SAVEE\SAVEE_DATA\AudioData\DC\DCdd11.wav,disgust,,male
datasources\SAVEE\SAVEE_DATA\AudioData\DC\DCdd12.wav,disgust,,male
datasources\SAVEE\SAVEE_DATA\AudioData\DC\DCdd13.wav,disgust,,male
datasources\SAVEE\SAVEE_DATA\AudioData\DC\DCdd14.wav,disgust,,male
datasources\SAVEE\SAVEE_DATA\AudioData\DC\DCdd15.wav,disgust,,male
datasources\SAVEE\SAVEE_DATA\AudioData\DC\DCff01.wav,fear,,male
datasources\SAVEE\SAVEE_DATA\AudioData\DC\DCff02.wav,fear,,male
datasources\SAVEE\SAVEE_DATA\AudioData\DC\DCff03.wav,fear,,male
datasources\SAVEE\SAVEE_DATA\AudioData\DC\DCff04.wav,fear,,male
datasources\SAVEE\SAVEE_DATA\AudioData\DC\DCff05.wav,fear,,male
datasources\SAVEE\SAVEE_DATA\AudioData\DC\DCff06.wav,fear,,male
datasources\SAVEE\SAVEE_DATA\AudioData\DC\DCff07.wav,fear,,male
datasources\SAVEE\SAVEE_DATA\AudioData\DC\DCff08.wav,fear,,male
datasources\SAVEE\SAVEE_DATA\AudioData\DC\DCff09.wav,fear,,male
datasources\SAVEE\SAVEE_DATA\AudioData\DC\DCff10.wav,fear,,male
datasources\SAVEE\SAVEE_DATA\AudioData\DC\DCff11.wav,fear,,male
datasources\SAVEE\SAVEE_DATA\AudioData\DC\DCff12.wav,fear,,male
datasources\SAVEE\SAVEE_DATA\AudioData\DC\DCff13.wav,fear,,male
datasources\SAVEE\SAVEE_DATA\AudioData\DC\DCff14.wav,fear,,male
