,emotion,statements,gender
datasources\SUBESCO\SUBESCO_DATA\F_01_S01_AN_1.wav,anger,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S01_AN_2.wav,anger,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S01_AN_3.wav,anger,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S01_AN_4.wav,anger,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S01_AN_5.wav,anger,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S01_DI_1.wav,disgust,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S01_DI_2.wav,disgust,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S01_DI_3.wav,disgust,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S01_DI_4.wav,disgust,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S01_DI_5.wav,disgust,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S01_FE_1.wav,fear,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S01_FE_2.wav,fear,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S01_FE_3.wav,fear,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S01_FE_4.wav,fear,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S01_FE_5.wav,fear,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S01_HA_1.wav,happiness,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S01_HA_2.wav,happiness,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S01_HA_3.wav,happiness,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S01_HA_4.wav,happiness,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S01_HA_5.wav,happiness,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S01_NE_1.wav,neutral,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S01_NE_2.wav,neutral,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S01_NE_3.wav,neutral,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S01_NE_4.wav,neutral,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S01_NE_5.wav,neutral,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S01_SA_1.wav,sadness,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S01_SA_2.wav,sadness,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S01_SA_3.wav,sadness,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S01_SA_4.wav,sadness,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S01_SA_5.wav,sadness,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S01_SU_1.wav,surprise,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S01_SU_2.wav,surprise,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S01_SU_3.wav,surprise,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S01_SU_4.wav,surprise,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S01_SU_5.wav,surprise,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S02_AN_1.wav,anger,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S02_AN_2.wav,anger,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S02_AN_3.wav,anger,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S02_AN_4.wav,anger,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S02_AN_5.wav,anger,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S02_DI_1.wav,disgust,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S02_DI_2.wav,disgust,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S02_DI_3.wav,disgust,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S02_DI_4.wav,disgust,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S02_DI_5.wav,disgust,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S02_FE_1.wav,fear,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S02_FE_2.wav,fear,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S02_FE_3.wav,fear,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S02_FE_4.wav,fear,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S02_FE_5.wav,fear,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S02_HA_1.wav,happiness,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S02_HA_2.wav,happiness,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S02_HA_3.wav,happiness,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S02_HA_4.wav,happiness,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S02_HA_5.wav,happiness,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S02_NE_1.wav,neutral,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S02_NE_2.wav,neutral,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S02_NE_3.wav,neutral,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S02_NE_4.wav,neutral,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S02_NE_5.wav,neutral,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S02_SA_1.wav,sadness,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S02_SA_2.wav,sadness,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S02_SA_3.wav,sadness,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S02_SA_4.wav,sadness,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S02_SA_5.wav,sadness,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S02_SU_1.wav,surprise,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S02_SU_2.wav,surprise,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S02_SU_3.wav,surprise,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S02_SU_4.wav,surprise,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S02_SU_5.wav,surprise,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S03_AN_1.wav,anger,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S03_AN_2.wav,anger,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S03_AN_3.wav,anger,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S03_AN_4.wav,anger,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S03_AN_5.wav,anger,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S03_DI_1.wav,disgust,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S03_DI_2.wav,disgust,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S03_DI_3.wav,disgust,,female
datasources\SUBESCO\SUBESCO_DATA\F_01_S03_DI_4.wav,disgust,,female
