,male-happiness,male-anger,male-neutral,male-anxiety/fear,male-sadness,female-neutral,female-anger,female-anxiety/fear,female-boredom,female-happiness,female-sadness,male-boredom,male-disgust,female-disgust
male-happiness,7,0,0,0,1,0,0,0,0,0,0,0,0,0
male-anger,0,8,0,0,1,0,0,0,0,0,0,0,0,0
male-neutral,0,0,6,0,0,1,0,0,0,0,0,0,0,0
male-anxiety/fear,0,1,0,5,0,0,0,0,0,0,0,1,0,0
male-sadness,2,1,0,0,4,0,0,0,0,0,0,0,0,0
female-neutral,0,0,2,0,0,5,1,0,0,0,0,0,0,0
female-anger,0,0,0,0,0,0,6,0,0,1,0,0,0,0
female-anxiety/fear,1,0,0,0,0,0,0,13,0,0,0,1,0,0
female-boredom,0,0,0,0,0,0,0,0,4,0,1,3,1,0
female-happiness,0,0,0,0,0,0,0,0,0,2,0,0,5,0
female-sadness,0,0,0,0,0,0,0,0,1,0,1,0,0,0
male-boredom,0,0,0,0,1,0,0,0,0,0,0,5,0,0
male-disgust,0,0,0,0,0,0,0,0,0,2,0,0,5,0
female-disgust,0,0,0,0,0,0,0,0,0,5,0,0,0,3
